Index	Date	Time	Temp	pH	SpCond	TDS	DO	E. coli
224	17Sep01	101235	15.71	8.01	1025	0.6562	8.76	200
225	24Sep01	93204	17.37	7.73	340.7	0.2181	8.43	7270
226	01Oct01	94726	12.76	7.94	925.3	0.5922	11.83	100
227	08Oct01	94134	9.59	7.8	690.5	0.4419	10.73	1220
228	15Oct01	95636	15.65	7.81	1	0.001	13.21	1220
229	22Oct01	111944	15.06	7.98	30	0.02	10.41	630
230	29Oct01	95503	7.09	8	1078	0.6899	11.56	410
231	05Nov01	112314	8.62	7.85	16	0.01	11.58	100
232	12Nov01	93712	5.75	7.91	1096	0.7015	12.96	740
233	14Nov01	92438	7.78	7.74	1146	0.7335	11.53	310
234	19Nov01	95118	11.98	7.73	1195	0.7647	9.85	100
235	27Nov01	95000	11.17	7.73	400.8	0.2565	9.5	4960
236	03Dec01	103803	6.83	6.85	850	0.544	###	740
237	04Dec01	91036	10.09	7.82	1056	0.6759	12.84	410
238	10Dec01	113453	3.77	###	1010	0.6462	13.05	200
239	12Dec01	100429	5.84	###	1125	0.7202	12.08	310
240	18Dec01	105733	7.33	###	695.6	0.4452	13.27	2310
241	07Jan02	100724	-0.14	###	1148	0.7347	13.75	100
242	09Jan02	94051	1.03	###	1429	0.9146	12.31	100
243	15Jan02	95605	1.35	###	889.9	0.5695	13.37	100
244	28Jan02	105340	3.51	7.71	1128	0.722	13.31	100
245	30Jan02	###	###	###	###	###	###	2010
246	04Feb02	95800	###	###	###	###	###	520
247	06Feb02	###	###	###	###	###	###	100
248	12Feb02	105400	###	###	###	###	###	200
249	19Feb02	92500	###	###	###	###	###	100
250	25Feb02	105902	6.26	7.87	1180	0.7554	17.63	100
251	04Mar02	115705	-0.11	7.36	1178	0.7538	15.04	200
252	06Mar02	95404	3.39	7.69	1259	0.8061	13.46	520
253	12Mar02	95905	5.91	7.95	1325	0.8482	12.86	100
254	18Mar02	105114	7.49	8.08	1218	0.7801	14.13	200
255	27Mar02	103253	3.5	6.21	1734	1.11	13.55	100
