Index	Date	Time	Temp	pH	SpCond	TDS	DO	E. coli
352	24Apr06	111126	14.81	8.14	1044	0.6679	11.16	1935
353	08May06	105828	14.34	8.05	1107	0.7085	9.45	426
354	17May06	110400	14.04	8.26	935	0.598	8.96	657
355	18May06	110113	14.02	8.07	456.3	0.292	8.91	14136
356	25May06	102706	17.76	7.83	613.5	0.3926	8.39	11199
357	31May06	103857	22.18	7.92	1044	0.668	7.08	416
358	08Jun06	112326	18.97	8.07	1015	0.65	7.51	762
359	12Jun06	110115	16.54	7.94	800.5	0.5123	7.96	1017
360	15Jun06	105546	19.38	8.01	1051	0.673	7.6	601
361	21Jun06	105938	26.25	7.98	648	0.415	5.77	717
362	29Jun06	105017	19.75	7.93	762.3	0.4879	7.22	8664
363	10Jul06	112402	22.56	7.95	1052	0.6733	7.93	2142
364	12Jul06	112110	22.46	7.87	493.1	0.3156	6.7	12997
365	17Jul06	105038	24.26	7.9	962	0.615	6.58	1039
366	20Jul06	104047	24.59	7.94	1065	0.6813	5.76	1669
367	31Jul06	114716	26.19	8.04	838	0.536	7.15	488
368	09Aug06	110218	22.43	8.07	944.8	0.6047	6.86	399
369	17Aug06	105948	21.11	8	767.7	0.4913	7.67	749
370	23Aug06	103215	20.91	8.06	1060	0.6784	6.97	554
371	28Aug06	114642	23.11	7.91	705.2	0.4513	6.36	9804
372	31Aug06	111800	20.74	8	745	0.477	7.43	408
373	06Sep06	111947	18.58	8.12	1037	0.6639	8.17	836
374	12Sep06	114508	20.36	7.79	360	0.23	7.14	24192
375	14Sep06	112445	18.7	7.95	439.9	0.2815	7.96	1989
376	20Sep06	102655	13.56	8.09	540.4	0.3459	8.85	816
377	26Sep06	104649	14.69	7.89	711	0.455	7.38	605
378	04Oct06	105530	19.17	7.85	403.7	0.2584	6.53	2755
379	10Oct06	105803	15.43	8	983	0.629	8.4	754
380	19Oct06	120520	12.83	7.99	655.4	0.4195	8.33	2247
381	26Oct06	102527	7.91	7.86	888.8	0.5688	9.65	24192
382	31Oct06	104419	12.35	7.81	843.8	0.54	7.7	2659
383	06Nov06	112326	9.13	7.95	1031	0.6601	9.64	275
384	09Nov06	110637	10.85	7.97	722	0.4621	9.55	223
385	13Nov06	102735	6.34	8.07	748.6	0.4793	11.25	496
386	16Nov06	103051	7.81	7.48	205	0.131	10.74	24192
387	28Nov06	105018	9.98	7.73	1094	0.7	10.22	537
388	05Dec06	105355	0.5	8.22	952.1	0.6094	13.21	1334
389	12Dec06	114458	6.94	8.02	759.7	0.4862	10.28	3255
390	14Dec06	105236	6.42	8.14	777.5	0.4976	10.76	1354
391	18Dec06	110803	11.77	8.12	927.5	0.5936	9.79	663
392	21Dec06	103652	8.04	7.68	1348	0.8627	10.68	4106
393	11Jan07	104144	2.77	8.08	969.9	0.6207	11.74	2247
394	16Jan07	103157	5.98	8.17	0	0	11.18	9804
395	18Jan07	###	###	###	###	###	###	1014
396	23Jan07	93447	2.4	7.9	2355	1.507	12.07	1935
397	31Jan07	105025	-0.1	8.12	1313	0.8406	13.18	209
398	08Feb07	###	###	###	###	###	###	###
399	12Feb07	###	###	###	###	###	###	###
400	20Feb07	###	###	###	###	###	###	###
401	22Feb07	###	###	###	###	###	###	###
402	28Feb07	105410	2.76	7.96	1512	0.9676	12.31	1956
403	08Mar07	110410	5.93	8.05	1116	0.7144	11.15	379
404	13Mar07	100657	8.45	8.05	1181	0.7558	11.02	231
405	21Mar07	105046	9.01	7.97	1114	0.7126	11.46	723
406	29Mar07	114657	12.63	8.08	874	0.559	10.41	1616
407	03Apr07	110637	14.69	8.07	1011	0.6473	9.53	226
408	09Apr07	112633	5.71	8.12	1084	0.694	12.29	259
409	19Apr07	104648	10.03	7.86	955.4	0.6114	10.9	2282
410	23Apr07	104715	16.47	7.85	1064	0.6812	10.29	399
411	26Apr07	102911	14.88	7.7	596	0.381	7.98	9208
412	07May07	114733	15.09	8.01	1120	0.717	10.9	1071
413	16May07	103048	17.61	7.76	386	0.247	7.8	17329
414	17May07	110706	14.5	7.66	697.5	0.4464	8.33	5172
415	24May07	112511	20.21	7.74	1183	0.7571	8.16	717
416	30May07	111739	21.3	7.87	983.3	0.6293	7.15	528
417	07Jun07	112156	21.11	7.5	1168	0.7473	4.38	364
418	11Jun07	121609	20.66	7.93	1192	0.763	7.02	907
419	14Jun07	105624	22.19	7.64	1219	0.7804	5.65	1669
420	20Jun07	110939	20.5	7.42	570.9	0.3654	6.56	14136
421	28Jun07	104433	23.26	7.82	428.9	0.2745	7.34	11199
422	03Jul07	110324	19.59	7.54	1033	0.6611	6.25	369
423	09Jul07	110853	24.13	7.96	1156	0.74	6.16	5172
424	16Jul07	105810	21.2	7.86	1055	0.675	5.16	495
425	19Jul07	110457	23.04	7.74	576	0.3687	3.39	512
426	30Jul07	105147	21.91	7.95	927	0.593	6.69	677
427	08Aug07	111542	26.23	7.7	804	0.514	4.4	1081
428	16Aug07	110101	24.43	7.95	1131	0.7236	6.42	328
429	22Aug07	110217	23.85	7.91	627.7	0.4018	6.88	3654
430	27Aug07	114506	21.95	8.07	966.1	0.6183	6.12	404
431	30Aug07	112935	22.24	8	1088	0.696	6.06	399
432	05Sep07	123513	22.78	8.08	1107	0.709	7.69	197
433	11Sep07	104010	20.03	7.78	682.6	0.4368	6.1	8164
434	13Sep07	110914	18.5	7.96	863	0.5523	7.85	1421
435	19Sep07	102707	18.28	8.16	1113	0.7122	6.44	754
436	25Sep07	110443	22.45	7.9	1176	0.7524	4.39	97
437	03Oct07	104452	19.05	8.06	940.3	0.6018	5.5	627
438	09Oct07	105954	19.84	8.15	1055	0.6749	4.66	173
439	18Oct07	105554	19.09	7.77	189.6	0.1213	8.07	24192
440	25Oct07	105947	10.8	7.75	661	0.423	9.03	288
